"Resistance_Category"	"Accuracy"	"F1_Score"	"Precision"	"Recall"	"True_Negatives"	"True_Positives"	"False_Negatives"	"False_Positives"
"multidrug"	0.997993607704546	0.997984683595324	1	0.99597747385358	355975	352830	1425	0
"aminoglycoside"	0.999766272897512	0.998478599578407	0.996980068451782	0.999981642281497	655592	54472	1	165
"lincosamide"	0.999945088210861	0.99028158484924	0.980750246791708	1	708204	1987	0	39
"beta-lactam"	0.999926784281148	0.99970132794192	0.99971281202973	0.999689844117951	623152	87026	27	25
"tetracycline"	0.999915520324402	0.999158036541214	0.998317489694624	1	674569	35601	0	60
"chloramphenicol"	0.99998310406488	0.999363057324841	0.998726925525143	1	700804	9414	0	12
"Polypeptide"	0.999998592005407	0.999940971607343	0.999881950182977	1	701759	8470	0	1
"macrolide-lincosamide-streptogramin"	0.999767680892105	0.996931431440739	0.994176557863501	0.999701615008765	683262	26803	8	157
"glycopeptide"	0.999973248102727	0.999837854905743	0.999675762385024	1	651631	58580	0	19
"polymyxin"	1	1	1	1	705394	4836	0	0
"Others"	0.999263618827704	0.988919726276986	0.978082306596262	1	686368	23339	0	523
"disinfecting agents and antiseptics"	0.999915520324402	0.942857142857143	0.891891891891892	1	709675	495	0	60
"sulfonamide"	1	1	1	1	704394	5836	0	0
"phosphonic acid"	0.999628289427369	0.975051975051975	0.95131845841785	1	704807	5159	0	264
"nitroimidazole"	0.999990144037847	0.999158147925436	0.99831771208844	1	706069	4154	0	7
"quinolone"	0.999911296340622	0.996247543034129	0.992523142653691	1	701804	8363	0	63
"nucleoside"	0.99999577601622	0.999688117267907	0.999376429016836	1	705419	4808	0	3
"rifamycin"	0.99998310406488	0.999078765545831	0.998159226875288	1	703711	6507	0	12
"mupirocin-like"	1	1	1	1	709026	1204	0	0
"antibacterial free fatty acids"	0.999997184010813	0.998223801065719	0.99645390070922	1	709666	562	0	2
"trimethoprim"	1	1	1	1	707174	3056	0	0
"macrolide"	0.999931008264928	0.994108452567031	0.988285919196749	1	706047	4134	0	49
"bicyclomycin-like"	1	1	1	1	709495	735	0	0
"pleuromutilin"	1	1	1	1	710162	68	0	0
"fusidane"	1	1	1	1	710065	165	0	0
"streptogramin"	1	1	1	1	710119	111	0	0
"puromycin"	1	1	1	1	710199	31	0	0
"diaminopyrimidine"	1	1	1	1	710218	12	0	0
"elfamycin"	1	1	1	1	710219	11	0	0
