"Resistance_Category"	"Accuracy"	"F1_Score"	"Precision"	"Recall"	"True_Negatives"	"True_Positives"	"False_Negatives"	"False_Positives"
"multidrug"	0.738829781242256	0.655305768598205	0.958931154887905	0.497714832557496	348400	176311	177930	7551
"beta-lactam"	0.925111800752473	0.560443647363158	0.998851082633672	0.389491338510316	623101	33906	53146	39
"aminoglycoside"	0.950375391443441	0.575881199080593	0.835906931246506	0.439245130615167	651022	23927	30546	4697
"macrolide-lincosamide-streptogramin"	0.97845793813504	0.667694780512174	0.799147298913326	0.573379094232634	679523	15370	11436	3863
"rifamycin"	0.991950064207989	0.223550183349178	0.961448598130841	0.126479176271707	703652	823	5684	33
"glycopeptide"	0.927450604906842	0.21987705538564	0.972281735404392	0.123954385605517	651407	7261	51317	207
"nucleoside"	0.99326942573276	0.0867405426060375	0.532863849765258	0.0472129783693844	705185	227	4581	199
"quinolone"	0.983846621758623	0.340992647058823	0.327629981234132	0.355491675649778	695752	2968	5381	6091
"tetracycline"	0.970385473224142	0.595133595133595	0.945616932770539	0.434201286480717	673702	15458	20143	889
"sulfonamide"	0.995496992362629	0.62261033750295	1	0.452021932830706	704356	2638	3198	0
"chloramphenicol"	0.991796584585577	0.577764893462821	0.909215328467153	0.42341193966433	700380	3986	5428	398
"Polypeptide"	0.961501960033343	0.00690131124913734	0.00498373727835484	0.0112173810367222	682756	95	8374	18967
"disinfecting agents and antiseptics"	0.997571079370086	NA	0	0	708467	0	495	1230
"mupirocin-like"	0.998394800279361	0.100946372239748	1	0.053156146179402	708988	64	1140	0
"fusidane"	0.999797237930025	0.225806451612903	1	0.127272727272727	710027	21	144	0
"diaminopyrimidine"	0.998066719985581	0.0143575017946877	0.00724112961622013	0.833333333333333	708809	10	2	1371
"antibacterial free fatty acids"	0.98540676324149	NA	0	0	699828	0	562	9802
