"Resistance_Category"	"Accuracy"	"F1_Score"	"Precision"	"Recall"	"True_Negatives"	"True_Positives"	"False_Negatives"	"False_Positives"
"multidrug"	0.655314865007568	0.504920380040204	0.890266862546533	0.352390388762802	340586	124835	229417	15387
"aminoglycoside"	0.958178042169735	0.657345561515833	0.884484043213709	0.523029757861693	652031	28491	25982	3721
"lincosamide"	0.993455595057904	0.152443471918308	0.119531026594224	0.210367388022144	705159	418	1569	3079
"beta-lactam"	0.979129149213277	0.910120603197895	0.96379770894334	0.862106992292052	620353	75049	12004	2819
"tetracycline"	0.820530113696364	0.0146567717996289	0.0101110293411832	0.0266284654925423	581813	948	34653	92811
"Polypeptide"	0.936972086310676	0.234855736359907	0.137303887278905	0.811193765497698	658591	6870	1599	43165
"macrolide-lincosamide-streptogramin"	0.96554472174311	0.198486783924536	0.814516129032258	0.113013315430234	682724	3030	23781	690
"disinfecting agents and antiseptics"	0.99537048118554	0.00844390832328106	0.00496277915632754	0.0282828282828283	706923	14	481	2807
"sulfonamide"	0.991449188637404	0.276075813565383	0.45358401880141	0.198423577793009	702994	1158	4678	1395
"nitroimidazole"	0.99405399697279	0.280456636565003	0.479883381924198	0.198122291766972	705179	823	3331	892
"quinolone"	0.961219331901862	0.226037597999269	0.1477318640955	0.48098541018895	678660	4022	4340	23203
"nucleoside"	0.99311344996304	0.148057829646403	0.455519828510182	0.0883943427620632	704909	425	4383	508
"rifamycin"	0.993623147594072	0.480559697212983	0.947106690777577	0.321960965114492	703601	2095	4412	117
"macrolide"	0.971134499630399	0.105814105639639	0.0645453094237216	0.293420416061925	688511	1213	2921	17580
"pleuromutilin"	0.999876095603506	0.584905660377358	0.430555555555556	0.911764705882353	710075	62	6	82
"streptogramin"	0.999325565841811	0.205638474295191	0.126016260162602	0.558558558558559	709684	62	49	430
"diaminopyrimidine"	0.995511281636101	0.0074719800747198	0.00375	1	707025	12	0	3188
