"Resistance_Category"	"Accuracy"	"F1_Score"	"Precision"	"Recall"	"True_Negatives"	"True_Positives"	"False_Negatives"	"False_Positives"
"multidrug"	0.640026135470734	0.464465877857478	0.900367115543932	0.312953458565532	343657	110855	243367	12267
"aminoglycoside"	0.958925347745393	0.651184482738003	0.934030874785592	0.499825601674224	653750	27227	27246	1923
"beta-lactam"	0.946212468985251	0.719038477098366	0.999550093048938	0.561469007030281	623072	48877	38175	22
"Polypeptide"	0.963182218867669	0.0508240760909025	0.036693400429837	0.0826543865863738	683300	700	7769	18377
"glycopeptide"	0.92311440182723	0.127209949167173	1	0.0679253657454036	651567	3979	54600	0
"tetracycline"	0.970339901935658	0.62906151489002	0.843168728165423	0.501671301367939	671223	17860	17741	3322
"disinfecting agents and antiseptics"	0.995992373399273	0.219418540866703	0.126943827356395	0.808080808080808	706900	400	95	2751
"chloramphenicol"	0.993205622505795	0.655627721076297	0.999129867304764	0.487890376035692	700728	4593	4821	4
"phosphonic acid"	0.996354270811918	0.773708591906302	0.704552690226043	0.857918201201783	703131	4426	733	1856
"nitroimidazole"	0.998572124605363	0.860981628735947	1	0.755897929706307	705992	3140	1014	0
"sulfonamide"	0.995158742005165	0.582462958464902	1	0.410897875257025	704310	2398	3438	0
"nucleoside"	0.993216887794904	0.104147294030128	0.492091388400703	0.0582362728785358	705049	280	4528	289
"mupirocin-like"	0.998479185970209	0.186746987951807	1	0.102990033222591	708942	124	1080	0
"antibacterial free fatty acids"	0.999522633373982	0.568152866242038	1	0.396797153024911	709584	223	339	0
"quinolone"	0.982579638553199	0.450446448403003	0.357697192041767	0.608132421734437	692705	5070	3267	9104
"rifamycin"	0.991327135546775	0.216113020236732	0.628888888888889	0.130474873213462	703138	849	5658	501
"macrolide-lincosamide-streptogramin"	0.959926550315006	0.152733118971061	0.377372370163307	0.0957411070882013	679123	2565	24226	4232
"bicyclomycin-like"	0.999722592255677	0.845247446975648	1	0.731972789115646	709411	538	197	0
"fusidane"	0.999892979753459	0.700787401574803	1	0.539393939393939	709981	89	76	0
"pleuromutilin"	0.999947898037868	0.626262626262626	1	0.455882352941176	710078	31	37	0
"diaminopyrimidine"	0.997792003334526	0.0113493064312736	0.00571791613722999	0.75	708569	9	3	1565
"elfamycin"	0.999987326549752	0.307692307692308	1	0.181818181818182	710135	2	9	0
