SeqID,Cate
0_T1YY48,amoA_A
1_T1W3U1,amoA_A
2_D4NXK9,amoA_A
3_T1YX04,amoA_A
4_G3FJP9,amoA_A
5_H6V8W7,amoA_A
6_E2J818,amoA_A
7_T1W269,amoA_A
8_B0Z0I6,amoA_A
9_W5U182,amoA_A
10_A0A0A1EDK3,amoA_A
11_I1VCC0,amoA_A
12_H2D5U7,amoA_A
13_K4F5F2,amoA_A
14_T1YWN6,amoA_A
15_F4ZE41,amoA_A
16_K9LGK1,amoA_A
17_A0A0A1EJ46,amoA_A
18_I1VCK1,amoA_A
19_D5GX86,amoA_A
20_C5IHW8,amoA_A
21_I3TC36,amoA_A
22_B5AIJ1,amoA_A
23_A0A023Q1R6,amoA_A
24_V9Q6N8,amoA_A
25_R4TR50,amoA_A
26_T1YY04,amoA_A
27_T1YY18,amoA_A
28_T1WQ27,amoA_A
29_I1VCF9,amoA_A
30_F8U978,amoA_A
31_A0A090BC31,amoA_A
32_W8P2Z1,amoA_A
33_A0A0P0ITY6,amoA_A
34_D4NXL3,amoA_A
35_B5LRY0,amoA_A
36_W5U1R4,amoA_A
37_I1VCU8,amoA_A
38_A0A0P0ILJ7,amoA_A
39_B2KPQ9,amoA_A
40_B2KPQ8,amoA_A
41_W5S2Z7,amoA_A
42_T1WNZ2,amoA_A
43_A0A0S2A6X6,amoA_A
44_T1YX98,amoA_A
45_A0A0A1EF58,amoA_A
46_I1VCZ6,amoA_A
47_I1VCU6,amoA_A
48_I1VCJ0,amoA_A
49_W5S394,amoA_A
50_W5S4E8,amoA_A
51_A0A0A7RJV5,amoA_A
52_I1VCS6,amoA_A
53_I1VCY9,amoA_A
54_T1W2L7,amoA_A
55_A0A097BUD2,amoA_A
56_R9Z008,amoA_A
57_G3FJT1,amoA_A
58_G3FJR8,amoA_A
59_A0A023Q3R5,amoA_A
60_F5CP59,amoA_A
61_F5CNP5,amoA_A
62_F5CNK8,amoA_A
63_E5G9J1,amoA_A
64_B0Z0I1,amoA_A
65_X2GAG8,amoA_A
66_F2WQG4,amoA_A
67_I1U3R1,amoA_A
68_A0A0B5JDS4,amoA_A
69_A0A0G3U5M3,amoA_A
70_X2GAK3,amoA_A
71_A0A0G4KBZ5,amoA_A
72_A0A0D5CSK1,amoA_A
73_B3UYY0,amoA_A
74_X4R9C0,amoA_A
75_A0A0K0MSF0,amoA_A
76_K4HUZ6,amoA_A
77_H9NHK2,amoA_A
78_G1CVW6,amoA_A
79_I6TSM5,amoA_A
80_A0A024BN16,amoA_A
81_K4P5W1,amoA_A
82_W0P2Y5,amoA_A
83_A0A088MTZ9,amoA_A
84_A0A0K0MRQ8,amoA_A
85_W5RRA2,amoA_A
86_A0A0D5CRH0,amoA_A
87_A0A089QDS8,amoA_A
88_I6TWG5,amoA_A
89_A0A0B5JDW9,amoA_A
90_F1D8A1,amoA_A
91_G1CVE2,amoA_A
92_A0A1B1W654,amoA_A
93_G9CT48,amoA_A
94_A0A096ZLE7,amoA_A
95_M1TFC0,amoA_A
96_A0A0D5CS04,amoA_A
97_H9BYL1,amoA_A
98_A9CTT0,amoA_A
99_I6TRF6,amoA_A
100_A9CT27,amoA_A
101_G1CV59,amoA_A
102_A0A1B1W685,amoA_A
103_A0A0D5CSA0,amoA_A
104_W5RRR6,amoA_A
105_G8IHV9,amoA_A
106_I6SZ28,amoA_A
107_A0A024BNK3,amoA_A
108_A0A088MUM0,amoA_A
109_A0A1Y0AVD8,amoA_A
110_H9BYM9,amoA_A
111_F2WQF3,amoA_A
112_H9NHN0,amoA_A
113_K4P813,amoA_A
114_A0A0D5CTH7,amoA_A
115_A0A067Z9Z3,amoA_A
116_X2GA47,amoA_A
117_F2WQB4,amoA_A
118_V5W9Y5,amoA_A
119_L7W3L1,amoA_A
120_A0A0B5JIS4,amoA_A
121_H9NJT0,amoA_A
122_T1W1A4,amoA_A
123_A0A1B1W689,amoA_A
124_A0A0B5JPQ9,amoA_A
125_G4XSY5,amoA_A
126_L7WYD4,amoA_A
127_A0A0B5JPQ6,amoA_A
128_K4HTR3,amoA_A
129_R9XTU2,amoA_A
130_R4V0C9,amoA_A
131_A0A0D5CS72,amoA_A
132_A0A024BP50,amoA_A
133_A0A0B5J8W9,amoA_A
134_A0A0H4U4X1,amoA_A
135_I6THZ5,amoA_A
136_D0EHF3,amoA_A
137_A0A088N6S7,amoA_A
138_H9NJV1,amoA_A
139_R9XWE8,amoA_A
140_X2GFA8,amoA_A
141_G1CTT8,amoA_A
142_A0A024BP19,amoA_A
143_A0A096ZL07,amoA_A
144_I6TQX3,amoA_A
145_G9CTH5,amoA_A
146_A0A0D5CRJ1,amoA_A
147_G1CTS0,amoA_A
148_K7T8P9,amoA_A
149_A9CT87,amoA_A
150_I2DBY0,amoA_A
151_G1CTQ4,amoA_A
152_I7CXL0,amoA_A
153_A0A0H4U8K7,amoA_A
154_A0A0D5CRK8,amoA_A
155_A0A0A1EAZ5,amoA_A
156_L7X2S9,amoA_A
157_X2G7C9,amoA_A
158_A0A0D5CU50,amoA_A
159_K4P5Y9,amoA_A
160_A0A0B5JKW4,amoA_A
161_M1S309,amoA_A
162_T1YW77,amoA_A
163_B3UYK5,amoA_A
164_K4P7X2,amoA_A
165_A0A024BLK9,amoA_A
166_A0A0A1EBG5,amoA_A
167_A0A0K0MU86,amoA_A
168_R9XWM0,amoA_A
169_A0A0G3U4M6,amoA_A
170_A0A059U0S0,amoA_A
171_A0A1B0V464,amoA_A
172_A0A1V0N9I3,amoA_A
173_F1D8A4,amoA_A
174_A0A0C5Q0V5,amoA_A
175_A0A0G3VKE0,amoA_A
176_A9CTZ2,amoA_A
177_M1TFG8,amoA_A
178_A0A1V0NA68,amoA_A
179_D0EG83,amoA_A
180_K4PIS4,amoA_A
181_A0A0K0MT46,amoA_A
182_K4HUW0,amoA_A
183_A0A024BP87,amoA_A
184_A0A024BN45,amoA_A
185_X2GET5,amoA_A
186_K0A1I5,amoA_A
187_B3UYP3,amoA_A
188_B3UYJ5,amoA_A
189_X2GF80,amoA_A
190_A0A0K0MRI5,amoA_A
191_B3UYN1,amoA_A
192_H9A0F5,amoA_A
193_A0A0S1TKG9,amoA_A
194_I6TRI8,amoA_A
195_A0A1V0N928,amoA_A
196_A0A1V0NAQ5,amoA_A
197_X4R6J2,amoA_A
198_X4R9D2,amoA_A
199_I6R5J7,amoA_A
200_R9XU13,amoA_A
201_X4QUZ7,amoA_A
202_C0KGN8,amoA_A
203_Q3I2W4,amoA_A
204_A5HA52,amoA_A
205_A0A088MW47,amoA_A
206_F5CNL9,amoA_A
207_D0UHK8,amoA_A
208_A8SV84,amoA_A
209_K0DE00,amoA_A
210_F1CLZ6,amoA_A
211_E2GDM9,amoA_A
212_G3KDP1,amoA_A
213_B5LS04,amoA_A
214_B0F381,amoA_A
215_A0A0P0UUW0,amoA_A
216_A1XT13,amoA_A
217_E2GDL3,amoA_A
218_A8SU93,amoA_A
219_H9BFL4,amoA_A
220_B5LRY9,amoA_A
221_A0A088N8U9,amoA_A
222_B3U0E2,amoA_A
223_S5RS42,amoA_A
224_A2TJQ5,amoA_A
225_A7DY99,amoA_A
226_A0A088MWD2,amoA_A
227_C3S3M3,amoA_A
228_H9CBL9,amoA_A
229_A8SW54,amoA_A
230_A0A088MW49,amoA_A
231_B6S3J8,amoA_A
232_H6TET1,amoA_A
233_X5D1V7,amoA_A
234_J9QD79,amoA_A
235_A8SU69,amoA_A
236_C1JDB8,amoA_A
237_F6N405,amoA_A
238_E5G9K3,amoA_A
239_A8SUQ1,amoA_A
240_D7R1V4,amoA_A
241_B6V1T9,amoA_A
242_B3GBP8,amoA_A
243_F6N2K8,amoA_A
244_Q3I312,amoA_A
245_M9WQJ9,amoA_A
246_A9Q2F7,amoA_A
247_A5HAF8,amoA_A
248_A0A088MW98,amoA_A
249_B5LRT0,amoA_A
250_H9BFN5,amoA_A
251_H2EHY3,amoA_A
252_A8SUE3,amoA_A
253_B5APG5,amoA_A
254_A0A088MZH5,amoA_A
255_C1JDM6,amoA_A
256_C8BME7,amoA_A
257_B5LRY4,amoA_A
258_C3S4I8,amoA_A
259_G3KCY5,amoA_A
260_G0T760,amoA_A
261_C9K706,amoA_A
262_U3MZ40,amoA_A
263_D5JXH8,amoA_A
264_H9BFL5,amoA_A
265_B0Z0J8,amoA_A
266_A0A088MZC3,amoA_A
267_H9CBT2,amoA_A
268_C3S3W5,amoA_A
269_C8BMK5,amoA_A
270_G4VWZ5,amoA_A
271_G0T6J9,amoA_A
272_A0A0P0UU86,amoA_A
273_B6S4M9,amoA_A
274_B0F2T3,amoA_A
275_B2KPP8,amoA_A
276_U3MZ09,amoA_A
277_C4TNU2,amoA_A
278_C0L4D7,amoA_A
279_F5CP44,amoA_A
280_C8BMK7,amoA_A
281_A0A142G4Z9,amoA_A
282_F5CNW0,amoA_A
283_U3MYV1,amoA_A
