VF GID,VF CID
VFG037176,VFC0235
VFG037177,VFC0235
VFG037203,VFC0235
VFG037218,VFC0272
VFG037232,VFC0272
VFG037246,VFC0272
VFG037260,VFC0272
VFG037274,VFC0272
VFG037288,VFC0272
VFG037302,VFC0272
VFG037316,VFC0272
VFG037330,VFC0272
VFG037344,VFC0272
VFG037358,VFC0272
VFG037372,VFC0272
VFG037386,VFC0272
VFG037400,VFC0272
VFG037414,VFC0272
VFG037428,VFC0272
VFG037442,VFC0272
VFG037456,VFC0272
VFG037470,VFC0272
VFG037482,VFC0272
VFG037490,VFC0272
VFG037497,VFC0272
VFG037505,VFC0272
VFG037513,VFC0272
VFG037521,VFC0272
VFG037529,VFC0272
VFG037537,VFC0272
VFG037547,VFC0272
VFG037560,VFC0271
VFG037586,VFC0271
VFG037599,VFC0271
VFG037612,VFC0271
VFG037625,VFC0271
VFG037638,VFC0271
VFG037664,VFC0271
VFG037678,VFC0271
VFG037692,VFC0271
VFG037705,VFC0271
VFG037720,VFC0271
VFG037735,VFC0271
VFG037747,VFC0258
VFG037762,VFC0258
VFG037777,VFC0258
VFG037792,VFC0258
VFG037807,VFC0258
VFG037822,VFC0258
VFG037837,VFC0258
VFG037852,VFC0258
VFG037867,VFC0258
VFG037882,VFC0258
VFG037897,VFC0258
VFG037912,VFC0258
VFG037927,VFC0258
VFG037942,VFC0258
VFG037957,VFC0258
VFG037972,VFC0258
VFG037987,VFC0258
VFG038002,VFC0258
VFG038017,VFC0258
VFG038047,VFC0258
VFG038062,VFC0258
VFG038091,VFC0258
VFG038105,VFC0258
VFG038119,VFC0258
VFG038132,VFC0258
VFG038144,VFC0258
VFG038155,VFC0258
VFG038176,VFC0258
VFG038191,VFC0271
VFG038205,VFC0271
VFG038249,VFC0258
VFG050303,VFC0001
VFG050313,VFC0001
VFG050328,VFC0001
VFG050342,VFC0001
VFG050357,VFC0001
VFG050372,VFC0001
VFG050386,VFC0001
VFG050400,VFC0001
VFG050414,VFC0001
VFG050428,VFC0001
VFG050443,VFC0001
VFG050457,VFC0001
VFG050470,VFC0001
VFG050484,VFC0001
VFG050499,VFC0001
VFG050514,VFC0001
VFG050527,VFC0001
VFG050540,VFC0001
VFG050554,VFC0001
VFG050567,VFC0001
VFG050581,VFC0001
VFG050595,VFC0001
VFG050610,VFC0001
VFG050625,VFC0001
VFG050640,VFC0001
VFG050655,VFC0001
VFG050670,VFC0001
VFG050685,VFC0001
VFG050699,VFC0001
VFG050712,VFC0086
VFG050727,VFC0086
VFG050742,VFC0086
VFG050757,VFC0086
VFG050772,VFC0086
VFG050787,VFC0086
VFG050802,VFC0086
VFG050817,VFC0086
VFG050832,VFC0086
VFG050860,VFC0086
VFG050874,VFC0086
VFG050889,VFC0086
VFG050901,VFC0251
VFG050910,VFC0086
VFG050911,VFC0086
VFG050912,VFC0086
VFG050946,VFC0086
VFG050959,VFC0086
VFG050972,VFC0086
VFG050986,VFC0086
VFG051000,VFC0086
VFG051014,VFC0086
VFG051028,VFC0086
VFG051042,VFC0086
VFG051056,VFC0086
VFG051070,VFC0086
VFG051084,VFC0086
VFG051098,VFC0086
VFG051109,VFC0086
VFG051110,VFC0086
VFG051111,VFC0086
VFG051112,VFC0086
VFG038261,VFC0086
VFG038265,VFC0086
VFG038269,VFC0086
VFG038273,VFC0086
VFG038277,VFC0086
VFG038281,VFC0086
VFG038285,VFC0086
VFG038289,VFC0086
VFG038293,VFC0086
VFG038297,VFC0086
VFG038301,VFC0086
VFG038305,VFC0086
VFG038309,VFC0086
VFG038313,VFC0086
VFG038317,VFC0001
VFG038320,VFC0086
VFG038321,VFC0086
VFG038322,VFC0086
VFG038323,VFC0086
VFG038324,VFC0086
VFG038325,VFC0086
VFG038326,VFC0086
VFG038327,VFC0086
VFG038328,VFC0086
VFG038329,VFC0086
VFG038330,VFC0086
VFG038331,VFC0086
VFG038332,VFC0086
VFG038333,VFC0086
VFG038334,VFC0086
VFG038335,VFC0086
VFG038336,VFC0086
VFG038337,VFC0086
VFG038338,VFC0086
VFG038339,VFC0086
VFG038340,VFC0086
VFG038341,VFC0086
VFG038342,VFC0086
VFG038343,VFC0086
VFG038344,VFC0086
VFG038345,VFC0086
VFG038346,VFC0086
VFG038347,VFC0086
VFG038348,VFC0086
VFG038349,VFC0086
VFG038350,VFC0086
VFG038351,VFC0086
VFG038352,VFC0086
VFG038353,VFC0086
VFG038354,VFC0086
VFG038355,VFC0086
VFG038357,VFC0086
VFG038358,VFC0086
VFG038359,VFC0086
VFG038360,VFC0086
VFG038361,VFC0086
VFG038362,VFC0086
VFG038363,VFC0086
VFG038364,VFC0086
VFG038365,VFC0086
VFG038367,VFC0086
VFG038369,VFC0086
VFG038371,VFC0086
VFG038373,VFC0086
VFG038374,VFC0086
VFG038375,VFC0086
VFG038376,VFC0086
VFG038378,VFC0086
VFG038380,VFC0086
VFG038381,VFC0086
VFG038383,VFC0086
VFG038385,VFC0086
VFG038387,VFC0086
VFG038389,VFC0086
VFG038391,VFC0086
VFG038393,VFC0086
VFG038395,VFC0086
VFG038397,VFC0086
VFG038399,VFC0086
VFG038401,VFC0086
VFG038402,VFC0086
VFG038403,VFC0086
VFG038405,VFC0086
VFG038407,VFC0086
VFG038409,VFC0001
VFG038413,VFC0001
VFG038417,VFC0001
VFG038421,VFC0001
VFG038425,VFC0001
VFG038429,VFC0001
VFG038432,VFC0001
VFG038436,VFC0001
VFG038444,VFC0001
VFG038448,VFC0001
VFG038452,VFC0001
VFG038456,VFC0001
VFG038460,VFC0001
VFG038464,VFC0001
VFG038468,VFC0001
VFG038472,VFC0001
VFG038476,VFC0001
VFG038480,VFC0001
VFG038488,VFC0001
VFG038493,VFC0001
VFG038497,VFC0001
VFG038501,VFC0001
VFG038505,VFC0001
VFG038509,VFC0001
VFG038513,VFC0001
VFG038517,VFC0001
VFG038521,VFC0001
VFG038525,VFC0001
VFG038529,VFC0001
VFG038533,VFC0001
VFG038537,VFC0001
VFG038541,VFC0001
VFG038545,VFC0001
VFG038549,VFC0001
VFG038553,VFC0001
VFG038557,VFC0001
VFG038561,VFC0001
VFG038564,VFC0001
VFG038568,VFC0001
VFG038572,VFC0001
VFG038576,VFC0001
VFG038578,VFC0001
VFG038581,VFC0001
VFG038584,VFC0001
VFG038587,VFC0001
VFG038590,VFC0001
VFG038593,VFC0001
VFG038596,VFC0001
VFG038600,VFC0001
VFG038603,VFC0001
VFG038607,VFC0001
VFG038611,VFC0001
VFG038615,VFC0001
VFG038619,VFC0204
VFG038623,VFC0204
VFG038627,VFC0204
VFG038631,VFC0204
VFG038635,VFC0204
VFG038639,VFC0204
VFG038643,VFC0204
VFG038647,VFC0204
VFG038651,VFC0204
VFG038655,VFC0204
VFG038659,VFC0204
VFG038663,VFC0204
VFG038667,VFC0204
VFG038671,VFC0204
VFG038675,VFC0204
VFG038679,VFC0204
VFG038683,VFC0204
VFG038687,VFC0204
VFG038691,VFC0204
VFG038695,VFC0204
VFG038699,VFC0204
VFG038703,VFC0204
VFG038707,VFC0204
VFG038711,VFC0204
VFG038715,VFC0204
VFG038719,VFC0204
VFG038723,VFC0204
VFG038727,VFC0204
VFG038731,VFC0204
VFG038740,VFC0204
VFG038743,VFC0204
VFG038747,VFC0204
VFG038753,VFC0204
VFG038756,VFC0204
VFG038760,VFC0204
VFG038764,VFC0204
VFG038768,VFC0204
VFG038772,VFC0204
VFG038776,VFC0204
VFG038780,VFC0204
VFG038784,VFC0204
VFG038788,VFC0204
VFG038792,VFC0204
VFG038796,VFC0204
VFG038800,VFC0204
VFG038804,VFC0204
VFG038808,VFC0204
VFG038812,VFC0204
VFG038816,VFC0204
VFG038820,VFC0204
VFG038824,VFC0204
VFG038828,VFC0204
VFG038832,VFC0204
VFG038836,VFC0204
VFG038840,VFC0204
VFG038845,VFC0204
VFG038848,VFC0204
VFG038851,VFC0204
VFG038855,VFC0204
VFG038856,VFC0204
VFG038857,VFC0204
VFG038858,VFC0204
VFG038859,VFC0204
VFG038860,VFC0204
VFG038861,VFC0204
VFG038862,VFC0204
VFG038863,VFC0204
VFG038864,VFC0204
VFG038865,VFC0204
VFG038866,VFC0204
VFG038867,VFC0204
VFG038868,VFC0204
VFG038869,VFC0204
VFG038870,VFC0204
VFG038871,VFC0204
VFG038872,VFC0204
VFG038873,VFC0204
VFG038874,VFC0204
VFG038875,VFC0204
VFG038876,VFC0204
VFG038877,VFC0204
VFG038878,VFC0204
VFG038879,VFC0204
VFG038880,VFC0204
VFG038881,VFC0204
VFG038882,VFC0204
VFG038883,VFC0204
VFG038884,VFC0204
VFG038885,VFC0204
VFG038886,VFC0204
VFG038887,VFC0204
VFG038888,VFC0204
VFG038889,VFC0204
VFG038890,VFC0204
VFG038892,VFC0235
VFG038912,VFC0235
VFG038914,VFC0235
VFG038915,VFC0235
VFG038916,VFC0235
VFG038917,VFC0235
VFG038918,VFC0235
VFG038922,VFC0086
VFG038929,VFC0086
VFG038936,VFC0086
VFG038943,VFC0086
VFG038950,VFC0086
VFG038957,VFC0086
VFG038964,VFC0086
VFG038972,VFC0086
VFG038979,VFC0086
VFG038986,VFC0086
VFG038993,VFC0086
VFG038997,VFC0086
VFG039001,VFC0086
