VF GID,VF Cate Code
VFG037176,0
VFG037177,0
VFG037203,0
VFG037218,1
VFG037232,1
VFG037246,1
VFG037260,1
VFG037274,1
VFG037288,1
VFG037302,1
VFG037316,1
VFG037330,1
VFG037344,1
VFG037358,1
VFG037372,1
VFG037386,1
VFG037400,1
VFG037414,1
VFG037428,1
VFG037442,1
VFG037456,1
VFG037470,1
VFG037482,1
VFG037490,1
VFG037497,1
VFG037505,1
VFG037513,1
VFG037521,1
VFG037529,1
VFG037537,1
VFG037547,1
VFG037560,2
VFG037586,2
VFG037599,2
VFG037612,2
VFG037625,2
VFG037638,2
VFG037664,2
VFG037678,2
VFG037692,2
VFG037705,2
VFG037720,2
VFG037735,2
VFG037747,3
VFG037762,3
VFG037777,3
VFG037792,3
VFG037807,3
VFG037822,3
VFG037837,3
VFG037852,3
VFG037867,3
VFG037882,3
VFG037897,3
VFG037912,3
VFG037927,3
VFG037942,3
VFG037957,3
VFG037972,3
VFG037987,3
VFG038002,3
VFG038017,3
VFG038047,3
VFG038062,3
VFG038091,3
VFG038105,3
VFG038119,3
VFG038132,3
VFG038144,3
VFG038155,3
VFG038176,3
VFG038191,2
VFG038205,2
VFG038249,3
VFG050303,4
VFG050313,4
VFG050328,4
VFG050342,4
VFG050357,4
VFG050372,4
VFG050386,4
VFG050400,4
VFG050414,4
VFG050428,4
VFG050443,4
VFG050457,4
VFG050470,4
VFG050484,4
VFG050499,4
VFG050514,4
VFG050527,4
VFG050540,4
VFG050554,4
VFG050567,4
VFG050581,4
VFG050595,4
VFG050610,4
VFG050625,4
VFG050640,4
VFG050655,4
VFG050670,4
VFG050685,4
VFG050699,4
VFG050712,5
VFG050727,5
VFG050742,5
VFG050757,5
VFG050772,5
VFG050787,5
VFG050802,5
VFG050817,5
VFG050832,5
VFG050860,5
VFG050874,5
VFG050889,5
VFG050901,6
VFG050910,5
VFG050911,5
VFG050912,5
VFG050946,5
VFG050959,5
VFG050972,5
VFG050986,5
VFG051000,5
VFG051014,5
VFG051028,5
VFG051042,5
VFG051056,5
VFG051070,5
VFG051084,5
VFG051098,5
VFG051109,5
VFG051110,5
VFG051111,5
VFG051112,5
VFG038261,5
VFG038265,5
VFG038269,5
VFG038273,5
VFG038277,5
VFG038281,5
VFG038285,5
VFG038289,5
VFG038293,5
VFG038297,5
VFG038301,5
VFG038305,5
VFG038309,5
VFG038313,5
VFG038317,4
VFG038320,5
VFG038321,5
VFG038322,5
VFG038323,5
VFG038324,5
VFG038325,5
VFG038326,5
VFG038327,5
VFG038328,5
VFG038329,5
VFG038330,5
VFG038331,5
VFG038332,5
VFG038333,5
VFG038334,5
VFG038335,5
VFG038336,5
VFG038337,5
VFG038338,5
VFG038339,5
VFG038340,5
VFG038341,5
VFG038342,5
VFG038343,5
VFG038344,5
VFG038345,5
VFG038346,5
VFG038347,5
VFG038348,5
VFG038349,5
VFG038350,5
VFG038351,5
VFG038352,5
VFG038353,5
VFG038354,5
VFG038355,5
VFG038357,5
VFG038358,5
VFG038359,5
VFG038360,5
VFG038361,5
VFG038362,5
VFG038363,5
VFG038364,5
VFG038365,5
VFG038367,5
VFG038369,5
VFG038371,5
VFG038373,5
VFG038374,5
VFG038375,5
VFG038376,5
VFG038378,5
VFG038380,5
VFG038381,5
VFG038383,5
VFG038385,5
VFG038387,5
VFG038389,5
VFG038391,5
VFG038393,5
VFG038395,5
VFG038397,5
VFG038399,5
VFG038401,5
VFG038402,5
VFG038403,5
VFG038405,5
VFG038407,5
VFG038409,4
VFG038413,4
VFG038417,4
VFG038421,4
VFG038425,4
VFG038429,4
VFG038432,4
VFG038436,4
VFG038444,4
VFG038448,4
VFG038452,4
VFG038456,4
VFG038460,4
VFG038464,4
